,Prices,Airlines,Links
0,"$2,145",DFW-KTM: Finnair and Vistara | KTM-DFW: Turkish Airlines,javascript:void(0)&pageOrigin=F..RP.FE.M1
1,"$2,244",DFW-KTM: Turkish Airlines | KTM-DFW: Turkish Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.2UFg3_Lii-UH7S5X9hxNmw.224345.f1dc10998632755f8333d1084d277c7a&h=f7dcb484c400&sub=E-162901f64ee&pageOrigin=F..RP.FE.M2
2,"$2,311",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.231045.a2b7427e529d1f7ec8af3180add72143&h=74cb0204ef67&sub=E-15bbc29dd0e&pageOrigin=F..RP.FE.M4
3,"$2,311",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.231045.3acb1788450723fba188c6e3705b53b7&h=5753ddbe2194&sub=E-15bbc29dd0e&pageOrigin=F..RP.FE.M5
4,"$2,311",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.231045.214372bfee3a2a54171d1ab04d23b44e&h=650b1efdacf7&sub=E-15bbc29dd0e&pageOrigin=F..RP.FE.M7
5,"$2,368",DFW-KTM: Turkish Airlines | KTM-DFW: Turkish Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.6We7wBYoN-cNUvH8T-y68A.236755.aa354288e4d906b56387a30b9abf454b&h=57daa35ad203&sub=E-162243554ed&pageOrigin=F..RP.FE.M8
6,"$2,370",DFW-KTM: Turkish Airlines | KTM-DFW: Turkish Airlines,javascript:void(0)&pageOrigin=F..RP.FE.M9
7,"$2,376",DFW-KTM: Finnair and Vistara | KTM-DFW: Emirates,javascript:void(0)&pageOrigin=F..RP.FE.M10
8,"$2,376",DFW-KTM: Finnair and Vistara | KTM-DFW: Emirates,javascript:void(0)&pageOrigin=F..RP.FE.M12
9,"$2,454",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.245345.27c1eab4f07c68306fac85c9e6eecc68&h=8e358b8791b4&sub=E-16b46656795&pageOrigin=F..RP.FE.M13
10,"$2,454",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.245345.a4f3e7a6e3308eccccb423715549754b&h=746d24eeeba4&sub=E-16b46656795&pageOrigin=F..RP.FE.M14
11,"$2,454",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.245345.46c7295d8400d3aa3ad3c4b7207d0a06&h=6d30f69704df&sub=E-16b46656795&pageOrigin=F..RP.FE.M15
12,"$2,454",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.245345.7c793d33bbca644352e21564125bb782&h=6d459d86fe1d&sub=E-16b46656795&pageOrigin=F..RP.FE.M17
13,"$2,454",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.245345.e331dd6c096ec3bb9fa8db4c839c2ea6&h=f8cd64d90e45&sub=E-16b46656795&pageOrigin=F..RP.FE.M18
14,"$2,454",DFW-KTM: American Airlines and Qatar Airways | KTM-DFW: Qatar Airways and American Airlines,https://www.kayak.com/book/flight?code=dfDCAhEPMb.sIt2B02c_IY.245345.d5f689bdbdf3e88302ceeb691a44da4d&h=7012bd338868&sub=E-16b46656795&pageOrigin=F..RP.FE.M19
